name	ATSA	ATSB	ATSpam	ATSvar	CIDRa	CIDRb	CIDRd	CIDRg	CIDRpam	DBLa	DBLb	DBLd	DBLe	DBLepam	DBLg	DBLpam	DBLz	NTSA	NTSB	NTSpam
IGHvar10	ATSA3							CIDRg3		DBLa1.4	DBLb3		DBLe4		DBLg9		DBLz2	NTSA2		
IGHvar11				ATSvar1	CIDRa1.2					DBLa1.1	DBLb11		DBLe1		DBLg1		DBLz1	NTSA1		
PF08_0103		ATSB9			CIDRa2.2	CIDRb1				DBLa0.12		DBLd1							NTSB3	
IGHvar13		ATSB2			CIDRa3.3			CIDRg8		DBLa0.14		DBLd1							NTSB3	
IGHvar18		ATSB20			CIDRa3.1			CIDRg4		DBLa0.22		DBLd1							NTSB3	
IGHvar19		ATSB20			CIDRa1.1	CIDRb1				DBLa2	DBLb1	DBLd1			DBLg6				NTSB3	
PF11_0521	ATSA2				CIDRa1.4			CIDRg2		DBLa1.7	DBLb3	DBLd3						NTSA6		
PF11_0008	ATSA2					CIDRb4		CIDRg3		DBLa1.5	DBLb9	DBLd5			DBLg12			NTSA6		
PF11_0007		ATSB2			CIDRa3.2	CIDRb1				DBLa0.15		DBLd1							NTSB3	
PFCLINvar77						CIDRb1						DBLd1								
PFCLINvar76				ATSvar1	CIDRa1.3					DBLa1.4	DBLb1		DBLe1		DBLg15		DBLz1	NTSA1		
PFCLINvar75	ATSA1					CIDRb4				DBLa1.5		DBLd6	DBLe6		DBLg7		DBLz3	NTSA5		
PFCLINvar74		ATSB1			CIDRa5			CIDRg2		DBLa0.3	DBLb2	DBLd9			DBLg13		DBLz4		NTSB3	
PFCLINvar73	ATSA1				CIDRa1.7			CIDRg4		DBLa1.4	DBLb3	DBLd1			DBLg2			NTSA2		
PFCLINvar72			ATSpam2						CIDRpam				DBLe10	DBLepam4		DBLpam1				NTSpam
PFCLINvar71		ATSB3			CIDRa3.2			CIDRg2		DBLa0.3		DBLd3	DBLe2		DBLg10		DBLz3		NTSB3	
DD2var16		ATSB2			CIDRa2.3	CIDRb5				DBLa0.19		DBLd1							NTSB7	
PFL1960w		ATSB23			CIDRa3.1	CIDRb1				DBLa0.20		DBLd1							NTSB3	
DD2var15		ATSB6			CIDRa3.1	CIDRb5				DBLa0.4		DBLd1							NTSB2	
DD2var12		ATSB12			CIDRa3.3			CIDRg6		DBLa0.24		DBLd1							NTSB3	
DD2var13		ATSB13			CIDRa3.5	CIDRb1				DBLa0.8	DBLb8	DBLd1							NTSB3	
DD2var10		ATSB13			CIDRa3.2	CIDRb1				DBLa0.15		DBLd1							NTSB3	
DD2var11		ATSB15			CIDRa3.2	CIDRb1				DBLa0.15		DBLd1							NTSB3	
PF07_0050		ATSB6			CIDRa6					DBLa0.18	DBLb6				DBLg9				NTSB3	
PF07_0051		ATSB12			CIDRa3.1	CIDRb1				DBLa0.1		DBLd1							NTSB3	
DD2var18		ATSB1			CIDRa2.2	CIDRb1				DBLa0.5		DBLd1							NTSB3	
DD2var19		ATSB15			CIDRa2.2			CIDRg9		DBLa0.10		DBLd1	DBLe6				DBLz6		NTSB3	
RAJ116var32		ATSB10			CIDRa3.1	CIDRb1				DBLa0.3		DBLd1							NTSB3	
IGHvar32	ATSA2				CIDRa1.4	CIDRb5				DBLa1.2	DBLb3	DBLd7	DBLe1		DBLg1			NTSA3		
RAJ116var30		ATSB22			CIDRa2.6	CIDRb4				DBLa0.13		DBLd1	DBLe2						NTSB3	
RAJ116var31		ATSB7			CIDRa2.6	CIDRb5				DBLa0.5		DBLd1							NTSB3	
RAJ116var36		ATSB11			CIDRa2.9	CIDRb3				DBLa0.13		DBLd1							NTSB3	
RAJ116var37		ATSB12			CIDRa2.11			CIDRg6		DBLa0.12	DBLb10	DBLd2			DBLg2				NTSB7	
RAJ116var34		ATSB2			CIDRa3.2			CIDRg10		DBLa0.15		DBLd1							NTSB3	
RAJ116var35		ATSB17			CIDRa2.1			CIDRg1		DBLa0.18	DBLb2	DBLd4			DBLg10				NTSB6	
RAJ116var38	ATSA3							CIDRg3		DBLa1.8					DBLg4		DBLz4	NTSA6		
RAJ116var39					CIDRa2.8			CIDRg2		DBLa0.10		DBLd3	DBLe13		DBLg2				NTSB3	
PFB0010w		ATSB1			CIDRa2.2					DBLa0.7					DBLg11				NTSB3	
PFI1830c		ATSB1			CIDRa3.1			CIDRg5		DBLa0.1		DBLd1							NTSB3	
PFL0020w		ATSB3			CIDRa5					DBLa0.18	DBLb5		DBLe4		DBLg14		DBLz5		NTSB3	
PFA0015c				ATSvar3						DBLa1.3			DBLe8					NTSA3		
MAL6P1.316		ATSB3			CIDRa1.8					DBLa2	DBLb12		DBLe12		DBLg4		DBLz3		NTSB3	
IT4var54		ATSB1			CIDRa3.1	CIDRb1				DBLa0.1		DBLd1							NTSB3	
IT4var51		ATSB5			CIDRa3.1			CIDRg12		DBLa0.17		DBLd1							NTSB3	
IT4var59		ATSB14			CIDRa3.1	CIDRb1				DBLa0.1		DBLd1							NTSB3	
IT4var58					CIDRa3.1	CIDRb5				DBLa0.1		DBLd1							NTSB3	
Pf_HB3_03083																				
Pf_DD2_03196																				
PFD1245c		ATSB8			CIDRa4	CIDRb1				DBLa0.14		DBLd1							NTSB3	
HB3var28		ATSB4			CIDRa2.8	CIDRb1				DBLa0.19		DBLd1							NTSB3	
MAL8P1.207	ATSA2				CIDRa1.6	CIDRb5				DBLa1.4	DBLb3	DBLd1			DBLg13			NTSA2		
IGHvar41			ATSpam1						CIDRpam				DBLe10	DBLepam4		DBLpam1				NTSpam
IGHvar40		ATSB6			CIDRa3.4	CIDRb1				DBLa0.16		DBLd1							NTSB3	
DD2var52	ATSA4						CIDRd1			DBLa1.5	DBLb7				DBLg11			NTSA5		
DD2var50		ATSB8			CIDRa3.1			CIDRg1		DBLa0.22	DBLb5	DBLd4	DBLe6		DBLg13		DBLz6		NTSB3	
DD2var51		ATSB17			CIDRa3.2	CIDRb2				DBLa0.1		DBLd6							NTSB3	
PF10_0406		ATSB1			CIDRa2.7	CIDRb1				DBLa0.9		DBLd1							NTSB3	
PFCLINvar28		ATSB2			CIDRa2.6			CIDRg12		DBLa0.21		DBLd1							NTSB7	
PFCLINvar29					CIDRa2.4					DBLa0.9									NTSB3	
PFCLINvar21		ATSB15				CIDRb1						DBLd1								
PFCLINvar22					CIDRa3.2					DBLa0.1									NTSB3	
PFCLINvar23					CIDRa3.2	CIDRb1				DBLa0.20		DBLd1							NTSB3	
PFCLINvar24					CIDRa3.1	CIDRb1				DBLa0.17		DBLd1							NTSB3	
HB3var2csaB		ATSB14							CIDRpam				DBLe10	DBLepam4		DBLpam1				NTSpam
PFCLINvar26		ATSB4			CIDRa3.4			CIDRg5		DBLa0.16		DBLd1							NTSB3	
PFCLINvar27					CIDRa2.8	CIDRb1				DBLa0.10		DBLd1							NTSB3	
PFA0005w		ATSB3			CIDRa2.8	CIDRb1				DBLa0.11		DBLd1							NTSB3	
RAJ116var09		ATSB2			CIDRa2.9	CIDRb1				DBLa0.5	DBLb10	DBLd1							NTSB3	
RAJ116var08		ATSB3			CIDRa1.1					DBLa2	DBLb12		DBLe14		DBLg4				NTSB3	
RAJ116var03				ATSvar3	CIDRa1.5					DBLa1.2			DBLe11		DBLg7		DBLz3	NTSA8		
RAJ116var02				ATSvar1	CIDRa1.3					DBLa1.4	DBLb1		DBLe1		DBLg15		DBLz2	NTSA1		
RAJ116var01		ATSB2			CIDRa2.5	CIDRb1				DBLa0.13		DBLd1							NTSB3	
RAJ116var07	ATSA1							CIDRg3		DBLa1.5			DBLe12		DBLg14		DBLz3	NTSA4		
RAJ116var06		ATSB16			CIDRa2.7			CIDRg1		DBLa0.9		DBLd1			DBLg3		DBLz4		NTSB3	
RAJ116var05	ATSA6					CIDRb4	CIDRd2			DBLa1.8		DBLd6	DBLe6		DBLg11		DBLz3	NTSA3		
RAJ116var04		ATSB1			CIDRa2.1					DBLa0.12			DBLe2						NTSB3	
PFCLINvar37		ATSB1			CIDRa3.1	CIDRb1				DBLa0.17		DBLd1							NTSB3	
Pf_DD2_00168																				
MAL7P1.212		ATSB1			CIDRa3.1	CIDRb1				DBLa0.17		DBLd1							NTSB3	
HB3var22		ATSB9			CIDRa2.2			CIDRg2		DBLa0.8		DBLd3	DBLe2						NTSB3	
HB3var23		ATSB9			CIDRa3.1			CIDRg9		DBLa0.7		DBLd1	DBLe9				DBLz6		NTSB3	
HB3var20		ATSB1			CIDRa2.5	CIDRb1				DBLa0.5		DBLd1							NTSB3	
HB3var21		ATSB7			CIDRa5		CIDRd1			DBLa0.4	DBLb5	DBLd4	DBLe4		DBLg13				NTSB4	
HB3var26		ATSB8			CIDRa3.5	CIDRb1				DBLa0.8		DBLd1							NTSB3	
HB3var27					CIDRa3.1	CIDRb1				DBLa0.1		DBLd1							NTSB3	
HB3var24		ATSB12			CIDRa3.1			CIDRg8		DBLa0.1		DBLd1	DBLe9				DBLz6		NTSB3	
HB3var25		ATSB11			CIDRa3.1			CIDRg1		DBLa0.23		DBLd4	DBLe9				DBLz6		NTSB3	
PFD1015c		ATSB6			CIDRa3.4	CIDRb1				DBLa0.24		DBLd1							NTSB3	
HB3var29		ATSB10			CIDRa3.2	CIDRb1				DBLa0.2		DBLd1							NTSB3	
PFC0005w		ATSB1			CIDRa2.4	CIDRb1				DBLa0.9		DBLd1							NTSB3	
MAL7P1.50		ATSB2			CIDRa3.1			CIDRg10		DBLa0.1		DBLd1							NTSB3	
MAL7P1.55		ATSB13			CIDRa2.4			CIDRg5		DBLa0.9		DBLd1							NTSB3	
MAL7P1.56		ATSB1			CIDRa3.1	CIDRb1				DBLa0.20		DBLd1							NTSB3	
